company_info,company_desc,focus,stars,company_url
IBM Watson,It is the best AI for the job.,Artificial Intelligence Software,4.2 (6 Reviews),https://www.goodfirm.co/software/ibm-watson
BotStar,Engage Customers Online with Live Chat & Chatbots,Artificial Intelligence Software,4.0 (3 Reviews),https://www.goodfirm.co/software/botstar
Deep Vision,Facial Recognition Software,Artificial Intelligence Software,4.5 (2 Reviews),https://www.goodfirm.co/software/deep-vision
Vertex AI,"Build, deploy, and scale ML models faster, with pre-trained and custom tooling",Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/vertex-ai
Salesforce Einstein,Focus on what matters — the customer — with AI from Einstein.,Artificial Intelligence Software,4.0 (1 Review),https://www.goodfirm.co/software/salesforce-einstein
Azure Machine Learning Studio,"Create smarter, more insightful solutions with AI.",Artificial Intelligence Software,5.0 (1 Review),https://www.goodfirm.co/software/azure-machine-learning-studio
TensorFlow,An open source machine learning framework for everyone.,Artificial Intelligence Software,4.0 (1 Review),https://www.goodfirm.co/software/tensorflow
Infosys Nia,Building AI Powered Smarter Businesses.,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/infosys-nia
Nvidia Deep Learning AI,POWERING CHANGE WITH AI AND DEEP LEARNING.,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/nvidia-deep-learning-ai
Wipro Holmes,AI here and now.,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/wipro-holmes
Playment,Data labeling for Computer Vision.,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/playment
H2O Driverless AI,Automatic machine learning for the enterprise.,Artificial Intelligence Software,4.5 (2 Reviews),https://www.goodfirm.co/software/h2o-driverless-ai
Infrrd AI,Power of Machine Learning & Sophistication of OCR.,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/infrrd-ai
WorkFusion Smart Process Automation,AI-driven RPA for data-first companies.,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/workfusion-smart-process-automation
Dialogflow,Build natural and rich conversational experiences.,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/dialogflow
Rainbird,"AI-powered decision-making, crafted for the complexity of your business.",Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/rainbird
Ayasdi ,The Leader in Enterprise-Class Artificial Intelligence.,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/ayasdi
Inbenta,The conversational platform that delivers real results.,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/inbenta
Informatica Big Data,"Achieve faster, more flexible, and more repeatable data ingestion and integration on Hadoop.",Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/informatica-big-data
ACTA.AI,Enabling AI in every meeting conference.,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/acta-ai
Fixel,Smarter Segmentation.,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/fixel
BotPenguin,Ai-Powered Chatbot Platform,Artificial Intelligence Software,0.0 (0 Review),https://www.goodfirm.co/software/botpenguin
